Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
A Ranatunga (SL),1982-1999,269,255,47,7456,131*,35.84,9571,77.90,4,49,18
Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.70,11014,67.01,8,50,8
MJ Guptill (NZ),2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16
Younis Khan (PAK),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
KS Williamson (NZ),2010-2025,173,165,18,7235,148,49.21,8853,81.72,15,47,5
Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
JE Root (ENG),2013-2025,180,169,24,7126,166*,49.14,8134,87.60,18,42,9
NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19
GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17
DA Warner (AUS),2009-2023,161,159,6,6932,179,45.30,7127,97.26,22,33,4
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11
S Dhawan (IND),2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5
A Flower (ZIM),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
Q de Kock (SA),2013-2023,155,155,7,6770,178,45.74,7005,96.64,21,30,4
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47.00,7451,90.20,11,45,7
BRM Taylor (ZIM),2004-2021,205,203,15,6684,145*,35.55,8721,76.64,11,39,15
Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.90,8633,76.61,11,38,19
GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18
Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.30,10,37,14
AR Border (AUS),1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11
Babar Azam (PAK),2015-2025,134,131,15,6291,158,54.23,7179,87.63,19,37,5
RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.80,7767,78.96,10,36,9
BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6
PR Stirling (IRE),2008-2025,170,162,3,6005,177,37.76,6864,87.48,14,32,13
DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6
JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.90,2,33,12
AD Mathews (SL),2008-2023,226,195,48,5916,139*,40.24,7136,82.90,3,40,17
SD Hope (WI),2016-2025,142,137,20,5879,170,50.24,7412,79.31,18,29,6
Ramiz Raja (PAK),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8
SPD Smith (AUS),2010-2025,170,154,20,5800,164,43.28,6669,86.96,12,35,8
CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12
Mahmudullah (BAN),2007-2025,239,209,53,5689,128*,36.46,7327,77.64,4,32,10
H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15
SK Raina (IND),2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14
MN Samuels (WI),2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8
F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.60,12,35,3
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3
IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
AJ Finch (AUS),2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16
A Jadeja (IND),1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10
JC Buttler (ENG),2012-2025,190,163,28,5274,162*,39.06,4565,115.53,11,27,15
G Gambhir (IND),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.50,7834,66.18,7,30,11
RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
SC Williams (ZIM),2005-2024,162,157,20,5140,174,37.51,5918,86.85,8,36,9
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3
Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.40,6945,73.75,0,42,6
JP Duminy (SA),2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7
PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7
A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
Abdul Razzaq (Asia/PAK),1996-2011,265,228,57,5080,112,29.70,6252,81.25,3,23,14
CL Cairns (ICC/NZ),1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
Aamer Sohail (PAK),1990-2000,156,155,5,4780,134,31.86,7297,65.50,5,31,10
CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3
MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16
AJ Stewart (ENG),1989-2003,170,162,14,4677,116,31.60,6841,68.36,4,28,13
BKG Mendis (SL),2016-2025,146,143,12,4654,143,35.52,5264,88.41,6,34,14
DA Miller (SA),2010-2025,178,154,45,4611,139,42.30,4447,103.68,7,24,9
SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
NS Sidhu (IND),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7
CZ Harris (NZ),1990-2004,250,213,62,4379,130,29.00,6583,66.51,1,16,12
TWM Latham (NZ),2012-2025,157,144,18,4361,145*,34.61,5090,85.67,8,26,14
GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4
WTS Porterfield (IRE),2006-2022,148,145,3,4343,139,30.58,6298,68.95,11,20,12
E Chigumbura (Afr/ZIM),2004-2018,213,198,26,4340,117,25.23,5423,80.02,2,19,17
ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
Sikandar Raza (ZIM),2013-2025,151,142,22,4325,141,36.04,5044,85.74,7,22,3
GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
JJ Roy (ENG),2015-2023,116,110,3,4271,180,39.91,4047,105.53,12,21,11
AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
K Srikkanth (IND),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
GJ Maxwell (AUS),2012-2025,149,136,18,3990,201*,33.81,3149,126.70,4,23,12
Rahmat Shah (AFG),2013-2025,123,118,5,3975,114,35.17,5579,71.24,5,31,5
RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7
AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12
JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9
JM Bairstow (ENG),2011-2023,107,98,8,3868,141*,42.97,3758,102.92,11,17,9
DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10
LD Chandimal (SL),2010-2022,157,142,21,3854,111,31.85,5191,74.24,4,24,11
GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10
HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.60,6588,57.51,2,13,10
N Kapil Dev (IND),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13
Wasim Akram (PAK),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28
RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.70,2,23,24
Imran Khan (PAK),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6
PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14
Mohammad Nabi (AFG),2009-2025,173,151,16,3667,136,27.16,4196,87.39,2,17,6
Fakhar Zaman (PAK),2017-2025,86,85,6,3651,210*,46.21,3890,93.85,11,17,6
NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6
KJ O'Brien (IRE),2006-2021,153,141,18,3619,142,29.42,4076,88.78,2,18,6
CR Ervine (ZIM),2010-2025,128,124,15,3600,130*,33.02,4696,76.66,4,23,11
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13
RD Berrington (SCOT),2008-2025,131,123,17,3536,127,33.35,4611,76.68,6,20,6
SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
MA Taylor (AUS),1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4
DB Vengsarkar (IND),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
Mohammad Ashraful (Asia/BAN),2001-2013,177,169,13,3468,109,22.23,4947,70.10,3,20,14
BA Stokes (ENG),2011-2023,114,99,15,3463,182,41.22,3619,95.68,5,24,7
SO Tikolo (Afr/KENYA),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4
CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3
MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16
AJ Stewart (ENG),1989-2003,170,162,14,4677,116,31.60,6841,68.36,4,28,13
BKG Mendis (SL),2016-2025,146,143,12,4654,143,35.52,5264,88.41,6,34,14
DA Miller (SA),2010-2025,178,154,45,4611,139,42.30,4447,103.68,7,24,9
SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
NS Sidhu (IND),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7
CZ Harris (NZ),1990-2004,250,213,62,4379,130,29.00,6583,66.51,1,16,12
TWM Latham (NZ),2012-2025,157,144,18,4361,145*,34.61,5090,85.67,8,26,14
GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4
WTS Porterfield (IRE),2006-2022,148,145,3,4343,139,30.58,6298,68.95,11,20,12
E Chigumbura (Afr/ZIM),2004-2018,213,198,26,4340,117,25.23,5423,80.02,2,19,17
ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
Sikandar Raza (ZIM),2013-2025,151,142,22,4325,141,36.04,5044,85.74,7,22,3
GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
JJ Roy (ENG),2015-2023,116,110,3,4271,180,39.91,4047,105.53,12,21,11
AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
K Srikkanth (IND),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
GJ Maxwell (AUS),2012-2025,149,136,18,3990,201*,33.81,3149,126.70,4,23,12
Rahmat Shah (AFG),2013-2025,123,118,5,3975,114,35.17,5579,71.24,5,31,5
RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7
AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12
JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9
JM Bairstow (ENG),2011-2023,107,98,8,3868,141*,42.97,3758,102.92,11,17,9
DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10
LD Chandimal (SL),2010-2022,157,142,21,3854,111,31.85,5191,74.24,4,24,11
GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10
HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.60,6588,57.51,2,13,10
N Kapil Dev (IND),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13
Wasim Akram (PAK),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28
RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.70,2,23,24
Imran Khan (PAK),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6
PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14
Mohammad Nabi (AFG),2009-2025,173,151,16,3667,136,27.16,4196,87.39,2,17,6
Fakhar Zaman (PAK),2017-2025,86,85,6,3651,210*,46.21,3890,93.85,11,17,6
NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6
KJ O'Brien (IRE),2006-2021,153,141,18,3619,142,29.42,4076,88.78,2,18,6
CR Ervine (ZIM),2010-2025,128,124,15,3600,130*,33.02,4696,76.66,4,23,11
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13
RD Berrington (SCOT),2008-2025,131,123,17,3536,127,33.35,4611,76.68,6,20,6
SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
MA Taylor (AUS),1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4
DB Vengsarkar (IND),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
Mohammad Ashraful (Asia/BAN),2001-2013,177,169,13,3468,109,22.23,4947,70.10,3,20,14
BA Stokes (ENG),2011-2023,114,99,15,3463,182,41.22,3619,95.68,5,24,7
SO Tikolo (Afr/KENYA),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4
A Flintoff (ENG/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
T Taibu (Afr/ZIM),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16
KC Wessels (AUS/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.30,1,26,0
AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19
Moin Khan (PAK),1990-2004,219,183,41,3266,72*,23.00,4017,81.30,0,12,17
A Balbirnie (IRE),2010-2025,117,110,8,3264,145*,32.00,4396,74.24,9,17,8
MDKJ Perera (SL),2013-2023,116,111,5,3237,135,30.53,3485,92.88,6,17,12
Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10
AN Cook (ENG),2006-2014,92,92,4,3204,137,36.40,4154,77.13,5,19,7
HDRL Thirimanne (SL),2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7
Umar Akmal (PAK),2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8
KJ Coetzer (SCOT),2008-2023,89,87,5,3192,156,38.92,3875,82.37,5,21,8
DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6
Imam-ul-Haq (PAK),2017-2025,75,74,7,3152,151,47.04,3846,81.95,9,20,3
KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.30,2,18,6
BJ Haddin (AUS),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2
DM Bravo (WI),2009-2022,122,117,14,3109,124,30.18,4434,70.11,4,18,9
RJ Shastri (IND),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5
SM Gavaskar (IND),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8
DS Lehmann (AUS),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4
GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3
KL Rahul (IND),2016-2025,85,79,17,3043,112,49.08,3451,88.17,7,18,3
CS MacLeod (SCOT),2008-2022,88,86,7,3026,175,38.30,3756,80.56,10,13,9
V Sibanda (Afr/ZIM),2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14
DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.30,2,10,11
AM Rahane (IND),2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6
HH Streak (Afr/ZIM),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6
MR Marsh (AUS),2011-2025,95,91,11,2900,177*,36.25,3044,95.26,3,20,7
WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8
SS Iyer (IND),2017-2025,70,65,6,2845,128*,48.22,2845,100.00,5,22,1
IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5
AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.90,1,14,13
RA Jadeja (IND),2009-2025,204,137,51,2806,87,32.62,3284,85.44,0,13,6
TM Head (AUS),2016-2025,75,72,7,2800,154*,43.07,2671,104.82,6,17,3
AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4
Shubman Gill (IND),2019-2025,55,55,8,2775,208,59.04,2787,99.56,8,15,1
SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3
M Kaif (IND),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8
SV Carlisle (ZIM),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11
Mohammad Shahzad (AFG),2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4
Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15
RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.40,1,20,5
Mohammad Rizwan (PAK),2015-2025,94,85,18,2713,131*,40.49,3159,85.88,4,16,3
KA Pollard (WI),2007-2022,123,113,9,2706,119,26.01,2866,94.41,3,13,15
GJ Whittall (ZIM),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12
RS Bopara (ENG),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4
HE van der Dussen (SA),2019-2025,71,65,12,2657,134,50.13,3053,87.02,6,17,3
Mudassar Nazar (PAK),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6
EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38.00,3630,72.23,6,15,5
Ahmed Shehzad (PAK),2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7
NJ O'Brien (IRE),2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3
Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.80,7,13,2
Litton Das (BAN),2015-2025,95,94,8,2569,176,29.87,2990,85.91,5,12,16
AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6
P Nissanka (SL),2021-2025,69,69,5,2548,210*,39.81,2846,89.52,6,16,6
KIC Asalanka (SL),2021-2025,76,68,10,2544,127,43.86,2799,90.88,5,16,5
HG Munsey (SCOT),2017-2025,68,67,9,2487,191,42.87,2791,89.10,3,16,4
VG Kambli (IND),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
CJ Chibhabha (ZIM),2005-2023,109,109,2,2474,99,23.12,3913,63.22,0,16,8
AK Markram (SA),2017-2025,79,75,9,2453,175,37.16,2521,97.30,3,13,5
Hashmatullah Shahidi (AFG),2013-2025,90,88,15,2435,97*,33.35,3614,67.37,0,22,6
Imrul Kayes (BAN),2008-2018,78,78,2,2434,144,32.02,3423,71.10,4,16,2
JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8
Asghar Afghan (AFG),2009-2021,114,108,10,2424,101,24.73,3630,66.77,1,12,7
TM Odoyo (Afr/KENYA),1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13
AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5
RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4
L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8
GP Thorpe (ENG),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3
MM Ali (ENG),2014-2023,138,112,15,2355,128,24.27,2399,98.16,3,6,6
VVS Laxman (IND),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
NLTC Perera (SL),2009-2021,166,133,16,2338,140,19.98,2086,112.08,1,10,11
RR Singh (IND),1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5
N Hussain (ENG),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6
GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7
Sarfaraz Ahmed (PAK),2007-2021,117,91,22,2315,105,33.55,2635,87.85,2,11,1
SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9
E Lewis (WI),2016-2025,70,67,5,2279,176*,36.75,2645,86.16,5,12,3
DL Vettori (ICC/NZ),1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23
JO Holder (WI),2013-2023,138,114,24,2237,99*,24.85,2479,90.23,0,12,11
S Matsikenyeri (ZIM),2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8
GM Wood (AUS),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4
MH Cross (SCOT),2014-2025,110,96,2,2215,114,23.56,3085,71.79,2,11,3
MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7
JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7
Shahriar Nafees (BAN),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11
D Ramdin (WI),2005-2016,139,110,22,2200,169,25.00,2738,80.35,2,8,4
Soumya Sarkar (BAN),2014-2025,76,71,4,2198,169,32.80,2282,96.31,3,13,9
MD Patel (USA),2019-2025,67,66,4,2192,130,35.35,2696,81.30,3,17,11
HM Nicholls (NZ),2015-2025,81,79,16,2180,124*,34.60,2713,80.35,1,15,6
Habibul Bashar (BAN),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18
MG Erasmus (NAM),2019-2025,60,59,5,2153,125,39.87,2761,77.97,2,17,4
MP O'Dowd (NED),2019-2025,65,64,4,2153,158*,35.88,2856,75.38,1,15,3
AT Carey (AUS),2018-2025,82,73,12,2149,106,35.22,2365,90.86,1,12,5
H Klaasen (SA),2018-2025,60,56,7,2141,174,43.69,1829,117.05,4,11,2
IT Botham (ENG),1976-1992,116,106,15,2113,79,23.21,2671,79.10,0,9,6
SA Edwards (NED),2018-2025,69,64,9,2108,86,38.32,2405,87.65,0,20,3
MW Gatting (ENG),1977-1993,92,88,17,2095,115*,29.50,2968,70.58,1,9,4
